"","mindex","n","predictors","rsquare","adjr","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
"1",1,1,"x1",0.760680769052187,0.752133653661193,0.707460930758531,1.31181310643834,157.341627622517,72.5796435327815,161.545219767504,292.129939915898,10.3851328212367,0.273507692511787,0.360594889626273
"8",2,1,"x8",0.72740439704096,0.717668839792422,0.668973379908509,5.10941035606821,161.247358645332,75.9658568857588,165.450950790318,332.749427609216,11.8291435753112,0.311537831953189,0.410734151920526
"3",3,1,"x3",0.721805787084544,0.71187027948042,0.664448739158404,5.7483401578225,161.857261293312,76.4946093326391,166.060853438298,339.583485965926,12.0720923253193,0.31793624333195,0.41916987240692
"2",4,1,"x2",0.634938715523477,0.621900812506458,0.568733614064541,15.6618653441742,170.009634236602,83.596947069792,174.213226381588,445.619562946878,15.8416434490661,0.417212896544598,0.550057064203684
"7",5,1,"x7",0.582161661251639,0.567238863439198,0.512874225075983,21.6849376934878,174.06051522105,87.1656312572418,178.264107366036,510.042959396501,18.131876107578,0.477529529998127,0.629579031513127
"6",6,1,"x6",0.566739207671275,0.551265607945248,0.48868412481564,23.4449933654096,175.147872125183,88.1291845051678,179.35146427017,528.86869446152,18.8011254120619,0.495155191232829,0.652816854585484
"9",7,1,"x9",0.520246152218777,0.50311208622659,0.415494476844201,28.7509173241188,178.205871629002,90.8525800613451,182.409463773988,585.621398546577,20.8186672294372,0.548290111749969,0.722870389911015
"5",8,1,"x5",0.402907550061528,0.381582819706582,0.30856617898733,42.1419430248004,184.769835739341,96.767930278828,188.973427884327,728.853175877031,25.9105144814744,0.682391371358254,0.899670641717863
"4",9,1,"x4",0.178398505073433,0.149055594540341,0.0678836814754228,67.7635742373664,194.345341315994,105.56391800407,198.548933460981,1002.90475778793,35.6529670313023,0.938973137058933,1.23795024414244
"12",10,2,"x1 x4",0.776984456122106,0.760464786205225,0.715476111949328,1.4511884820153,157.224921147265,73.0970838414395,162.829710673914,282.69883634478,10.3497013817981,0.272574553628537,0.361877670692243
"15",11,2,"x1 x7",0.773180791347191,0.75637936848402,0.704280307404098,1.88527387097712,157.732274846796,73.4991869118587,163.337064373444,287.520435714118,10.5262217888169,0.277223477242323,0.368049712895696
"41",12,2,"x6 x8",0.771629195607213,0.754712839726266,0.707050287859112,2.06234653120242,157.936796260481,73.6613458499669,163.541585787129,289.487268619761,10.5982282162381,0.279119872035628,0.370567420148184
"11",13,2,"x1 x3",0.768674075741622,0.751538822092853,0.697643738874565,2.39959348438923,158.322506280415,73.9672814686527,163.927295807064,293.233235975828,10.7353693662426,0.282731685204684,0.375362565253236
"16",14,2,"x1 x8",0.766258653823659,0.748944480032818,0.699072594551599,2.67524852362424,158.634131345027,74.2145784723818,164.238920871675,296.295071727796,10.8474642235215,0.285683867548862,0.379281965857394
"10",15,2,"x1 x2",0.765593333848708,0.74822987709676,0.686640631392639,2.75117679207084,158.719401867001,74.2822675698571,164.32419139365,297.138444254415,10.87834038105,0.286497036407135,0.380361551784965
"13",16,2,"x1 x5",0.764983795538758,0.747575187800888,0.701038497887804,2.82073909317226,158.79731097932,74.3441212037493,164.402100505968,297.911106858707,10.9066278240643,0.287242027674851,0.381350623219031
"17",17,2,"x1 x9",0.760696225118531,0.742970019571756,0.686779164457057,3.31004921477909,159.339690055853,74.7749552814893,164.944479582501,303.346114425749,11.105605315638,0.292482391521795,0.388307878169162
"14",18,2,"x1 x6",0.760682621847583,0.742955408651107,0.695307844044796,3.31160165998925,159.341395363385,74.7763105377472,164.946184890033,303.363358196299,11.1062366159935,0.292499017741843,0.388329951608166
"38",19,2,"x5 x8",0.757016514187276,0.739017737460407,0.696764011274936,3.72998862726232,159.79748141407,75.138934360807,165.402270940719,308.010587494589,11.2763732748915,0.29697981599333,0.394278785835367
"29",20,2,"x3 x8",0.745768109313136,0.726936117410405,0.66698501284667,5.01368960879796,161.155081151335,76.2204258205004,166.759870677984,322.269284056096,11.7983890476246,0.310727866395056,0.41253108558128
"25",21,2,"x3 x4",0.745462971432617,0.726608376723922,0.678747479394469,5.04851283939006,161.191066594497,76.2491394530498,166.795856121146,322.656082761905,11.8125498809402,0.311100812693468,0.413026219613294
"28",22,2,"x3 x7",0.744835924215844,0.725934881565165,0.665946688852327,5.12007330833196,161.264880152414,76.308045123548,166.869669679063,323.450939996665,11.84164987699,0.311867203736191,0.414043701992658
"34",23,2,"x4 x8",0.743017864395821,0.723982150647363,0.672986708245273,5.32755563152065,161.47787410803,76.4780831963133,167.082663634678,325.755547947252,11.9260223646843,0.314089276849552,0.416993788974977
"45",24,2,"x8 x9",0.741831586293412,0.722708000092924,0.668612735965891,5.4629371706345,161.616041119696,76.588435104104,167.220830646345,327.25929711783,11.9810751376983,0.315539172308052,0.418918711108333
"23",25,2,"x2 x8",0.734803436752691,0.71515924688252,0.650957874505679,6.2650102258589,162.42181594559,77.2328126647929,168.026605472239,336.168316024183,12.3072373762054,0.324129132857822,0.430322985182007
"26",26,2,"x3 x5",0.729078822963496,0.709010587627459,0.661707978178652,6.91831995486739,163.062514539525,77.746229292993,168.667304066174,343.424947685763,12.5729051508101,0.331125883044616,0.439612068210142
"18",27,2,"x2 x3",0.729024552927013,0.708952297588273,0.651522099997772,6.924513410729,163.068523438741,77.7510490609288,168.67331296539,343.493741438411,12.575423713695,0.331192213089207,0.439700129849477
